brand_name,full_label,strength,reason,source,needs_manual_review
ADONTAG,ADONTAG 150mg Gél. Fl 14,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Fl 28,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 150mg Gél. Fl 56,150mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 75mg Gél. Fl 14,75mg,no_priority_inn_or_seed_match,PCT,true
ADONTAG,ADONTAG 75mg Gél. Fl 30,75mg,no_priority_inn_or_seed_match,PCT,true
ADRENALINE MEDIS sans conservateur,ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml,1mg/1ml,no_priority_inn_or_seed_match,PCT,true
ADRENALINE SOPHARMA,ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRENOL 1 (Avec sulfite),ADRENOL 1 (Avec sulfite) 1mg/ml Sol.Inj. Bt 100 Amp./1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRENOL 1 (sans sulfites),ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml,1mg,no_priority_inn_or_seed_match,PCT,true
ADRIBLASTINE,ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F),10mg/5ml,no_priority_inn_or_seed_match,PCT,true
ADRIBLASTINE,ADRIBLASTINE 50mg/25ml Sol.Inj.P.Perf. Bt 1Fl/25ml (F),50mg/25ml,no_priority_inn_or_seed_match,PCT,true
ADVAGRAF LP,ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100,0.5mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 10,200mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 20,200mg,no_priority_inn_or_seed_match,PCT,true
ADYBREX,ADYBREX 200mg Gél. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
ADYFLU,ADYFLU 75mg Gél. Bt 10,75mg,no_priority_inn_or_seed_match,PCT,true
AERIUS,AERIUS 0.5mg/ml Sol.Buv. Fl 150ml,0.5mg,no_priority_inn_or_seed_match,PCT,true
AERIUS,AERIUS 5mg Comp.Pell. Bt 15,5mg,no_priority_inn_or_seed_match,PCT,true
AEROFOR,AEROFOR 12µg Gél. Bt 30 +Inhalateur,,no_priority_inn_or_seed_match,PCT,true
AEROFOR,AEROFOR 12µg Gél. Bt 60 +Inhalateur,,no_priority_inn_or_seed_match,PCT,true
AEROL,AEROL 100µg Aérosol Fl 200 Doses,,no_priority_inn_or_seed_match,PCT,true
AEROL,AEROL 100µg Aérosol Fl 200Doses,,no_priority_inn_or_seed_match,PCT,true
AERONIDE 200µg Pdre P.Inha.Bucc. Bt,AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,60G,no_priority_inn_or_seed_match,PCT,true
AERONIDE 400µg Pdre P.Inha.Bucc. Bt,AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur,60G,no_priority_inn_or_seed_match,PCT,true
AFINITOR,AFINITOR 10mg Comp. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
AFINITOR,AFINITOR 5mg Comp. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
AFTAGEL Gel Buccal Tb,AFTAGEL Gel Buccal Tb 15ml,15ml,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Crème Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Crème Derm.Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 2% Pde.Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 250mg Comp.Pell. Bt 10,250mg,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC,AFUSIDIC 250mg Comp.Pell. Bt 20,250mg,no_priority_inn_or_seed_match,PCT,true
AFUSIDIC PLUS,AFUSIDIC PLUS 2% Crème Derm. Tb 15gr,2%,no_priority_inn_or_seed_match,PCT,true
AGRIPPAL S1 Susp.Inj. Bt 1Ser./,AGRIPPAL S1 Susp.Inj. Bt 1Ser./0.5ml (F),0.5ml,no_priority_inn_or_seed_match,PCT,true
AH-DEUX,AH-DEUX 20mg Comp.Pell. Bt 30,20mg,no_priority_inn_or_seed_match,PCT,true
AIMAFIX,AIMAFIX 500UI/10ml Pdre.P.Prép.Inj. 1Fl Pdre. +Solv./10ml +Kit (F),500UI/10ml,no_priority_inn_or_seed_match,PCT,true
AKIRIDEN LP,AKIRIDEN LP 4mg Comp. à Libération Prolongée Bt 30,4mg,no_priority_inn_or_seed_match,PCT,true
AKLONIL,AKLONIL 2mg Comp.Séc. Bt 40,2mg,no_priority_inn_or_seed_match,PCT,true
AKTONATE,AKTONATE 35mg Comp.Pell. Bt 12,35mg,no_priority_inn_or_seed_match,PCT,true
AKTONATE,AKTONATE 35mg Comp.Pell. Bt 4,35mg,no_priority_inn_or_seed_match,PCT,true
ALBUMINE HUMAINE BAXTER,ALBUMINE HUMAINE BAXTER 200gr/l Sol. Inj. Fl 50ml,200g,no_priority_inn_or_seed_match,PCT,true
ALBUTOL,ALBUTOL 2mg Comp. Bt 120,2mg,no_priority_inn_or_seed_match,PCT,true
ALBUTOL,ALBUTOL 2mg Comp. Bt 30,2mg,no_priority_inn_or_seed_match,PCT,true
ALDACTAZINE,ALDACTAZINE 25mg Comp.Séc. Bt 30,25mg,no_priority_inn_or_seed_match,PCT,true
ALDARA,ALDARA 5% Crème Derm. Bt 12Sachets Unidoses /250mg,5%,no_priority_inn_or_seed_match,PCT,true
ALERGOSONE,ALERGOSONE 0.5mg/ml Gttes.Buv. Fl 30ml,0.5mg,no_priority_inn_or_seed_match,PCT,true
ALERGOSONE,ALERGOSONE 2mg Comp.Disper.Séc. Bt 20,2mg,no_priority_inn_or_seed_match,PCT,true
ALEXAN,ALEXAN 100mg/5ml Sol.Inj. Bt 1Fl/5ml,100mg/5ml,no_priority_inn_or_seed_match,PCT,true
ALEXAN,ALEXAN 1gr/20ml Sol.Inj. Bt 1Fl/20ml,1g,no_priority_inn_or_seed_match,PCT,true
ALEZINE,ALEZINE 5mg Comp.Orodisp. Bt 18,5mg,no_priority_inn_or_seed_match,PCT,true
ALEZINE,ALEZINE 5mg Comp.Orodisp. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ALEZINE,ALEZINE 5mg Comp.Orodisp. Bt 6,5mg,no_priority_inn_or_seed_match,PCT,true
ALGESAL SURACTIVE Baume Tb,ALGESAL SURACTIVE Baume Tb 60gr,60g,no_priority_inn_or_seed_match,PCT,true
ALGESIC,ALGESIC 1000mg Comp.Séc. Bt 8,1000mg,no_priority_inn_or_seed_match,PCT,true
ALGESIC,ALGESIC 500mg Comp.Séc. Bt 160,500mg,no_priority_inn_or_seed_match,PCT,true
ALGESIC,ALGESIC 500mg Comp.Séc. Bt 20,500mg,no_priority_inn_or_seed_match,PCT,true
ALGESIC EXTRA,ALGESIC EXTRA 500mg/65mg Comp.Pell.Séc. Bt 16,500mg/65mg,no_priority_inn_or_seed_match,PCT,true
ALGESIC PLUS,ALGESIC PLUS 500mg/12.8mg Comp.Séc. Bt 16,500mg/12.8mg,no_priority_inn_or_seed_match,PCT,true
ALGESIC RHUME,ALGESIC RHUME 500mg/25mg/5mg Comp.Pell. Bt 16,500mg/25mg,no_priority_inn_or_seed_match,PCT,true
ALGIBREX,ALGIBREX 200mg Gél. Bt 10,200mg,no_priority_inn_or_seed_match,PCT,true
ALGIBREX,ALGIBREX 200mg Gél. Bt 20,200mg,no_priority_inn_or_seed_match,PCT,true
ALGIBREX,ALGIBREX 200mg Gél. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
ALGIDOL,ALGIDOL 1000mg Comp.Séc. Bt 8,1000mg,no_priority_inn_or_seed_match,PCT,true
ALGIDOL,ALGIDOL 500mg Comp. Bt 16,500mg,no_priority_inn_or_seed_match,PCT,true
ALGIDOL EXTRA,ALGIDOL EXTRA 500mg/65mg Comp.Pell. Bt 16,500mg/65mg,no_priority_inn_or_seed_match,PCT,true
ALLERGAMINE,ALLERGAMINE 0.5mg/5ml Sirop Fl 125ml,0.5mg/5ml,no_priority_inn_or_seed_match,PCT,true
ALLERGICA,ALLERGICA 0.1% Sirop Fl 150ml,0.1%,no_priority_inn_or_seed_match,PCT,true
ALLERGICA,ALLERGICA 10mg Comp. Bt 10,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERGICA,ALLERGICA 10mg Comp. Bt 20,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERGICA,ALLERGICA 10mg Comp. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERGICA,ALLERGICA 10mg Comp. Bt 600,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERGIFLASH,ALLERGIFLASH 0.05% Collyre Bt 10Récipients Unidoses /0.3ml,0.05%,no_priority_inn_or_seed_match,PCT,true
ALLERGODIL,ALLERGODIL 0.05% Collyre Fl 6ml,0.05%,no_priority_inn_or_seed_match,PCT,true
