"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"38","ACTIFED RHUME ET FIEVRE Comp. Bt 16","ACTIFED RHUME ET FIEVRE Comp. Bt 16","ACTIFED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"39","ACTIFED Vitamine C Comp.Pell. Bt 20","ACTIFED Vitamine C Comp.Pell. Bt 20","ACTIFED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"40","ACTILYSE 50mg Pdre.Prép.Inj Bt 1Fl+1Fl 50ml","ACTILYSE 50mg Pdre.Prép.Inj Bt 1Fl+1Fl 50ml","ACTILYSE","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"41","ACTIPP 20mg Gél. Gastro-résist. Bt 16","ACTIPP 20mg Gél. Gastro-résist. Bt 16","ACTIPP","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"42","ACTIPP 20mg Gél. Gastro-résistante Bt 28","ACTIPP 20mg Gél. Gastro-résistante Bt 28","ACTIPP","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"43","ACTIPP 20mg Gél.Gastro-résist. Bt 8","ACTIPP 20mg Gél.Gastro-résist. Bt 8","ACTIPP","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"44","ACTIPP 40mg Gél. Gastro-résistante Bt 28","ACTIPP 40mg Gél. Gastro-résistante Bt 28","ACTIPP","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"45","ACTIPP 40mg Gél.Gastro-résist. Bt 16","ACTIPP 40mg Gél.Gastro-résist. Bt 16","ACTIPP","40mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"46","ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml","ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml","ACTISOUFRE","4mg/50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"47","ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl 100ml","ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl 100ml","ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl","100ml","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"48","ACTOPRIL 25mg Comp séc. Bt 60","ACTOPRIL 25mg Comp séc. Bt 60","ACTOPRIL","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"49","ACTOPRIL 25mg Comp.Séc. Bt 500","ACTOPRIL 25mg Comp.Séc. Bt 500","ACTOPRIL","25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"50","ACTOPRIL 50mg Comp séc. Bt 30","ACTOPRIL 50mg Comp séc. Bt 30","ACTOPRIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"51","ACTOPRIL 50mg Comp.Séc. Bt 500","ACTOPRIL 50mg Comp.Séc. Bt 500","ACTOPRIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"52","ACTOPRIL 50mg Comp.Séc. Bt 60","ACTOPRIL 50mg Comp.Séc. Bt 60","ACTOPRIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"53","ACTOZID 50mg/25mg Comp.Séc. Bt 30","ACTOZID 50mg/25mg Comp.Séc. Bt 30","ACTOZID","50mg/25mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"54","ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F)","ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F)","ACTRAPID","100UI","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
