Brand Name,INN (DCI),Form,Strength,Marketing Authorization Number,Laboratory
CLARITHROMYCINE,Clarithromycine,ZENTIVA  Comp.Pell. Bt 14,500mg,PCT-675062048,PCT Catalog Asset
CLOPIDOGREL,Clopidogrel,PFIZER  Comp.Pell. Bt 30,75mg,PCT-2191947396,PCT Catalog Asset
CLOPIDOGREL,Clopidogrel,PFIZER  Comp.Pell. Bt 90,75mg,PCT-1778636198,PCT Catalog Asset
DIGOXIN,Digoxin,SOPHARMA 0. Comp.Séc. Bt 20,250mg,PCT-1910733244,PCT Catalog Asset
DIGOXINE,Digoxin,NATIVELLE 0. Comp. Bt 30,250mg,PCT-1563153857,PCT Catalog Asset
FUROSEMIDE,Furosemide,Comp. Bt 20,40mg,PCT-1311551354,PCT Catalog Asset
FUROSEMIDE,Furosemide,Comp. Bt 600,40mg,PCT-1552321096,PCT Catalog Asset
FUROSEMIDE,Furosemide,SAIPH /2ml Sol.Inj. Bt 50/2ml,20mg,PCT-205523567,PCT Catalog Asset
GLIBENCLAMIDE,Glibenclamide,Comp. Bt 500,5mg,PCT-1018870639,PCT Catalog Asset
GLIBENCLAMIDE,Glibenclamide,Comp.Séc. Bt 60,5mg,PCT-2490333925,PCT Catalog Asset
GLIBENCLAMIDE,Glibenclamide,"Comp 2, Bt 60",5mg,PCT-71873914,PCT Catalog Asset
HEPARINE,Heparin,MEDIS  Sol.Inj Bt 10Fl/5ml,25000UI,PCT-1403918005,PCT Catalog Asset
METFORMINE,Metformin,SANOFI  Comp.Pell.Séc. Bt 30,1000mg,PCT-1286574758,PCT Catalog Asset
