brand_name,inn_raw,full_text,strength
AMLOTENS,,AMLOTENS 5mg Gél. Bt 90,5mg
AMLOVAR,,AMLOVAR 10mg/160mg Comp.Pell. Bt 30,10mg
AMLOVAR,,AMLOVAR 10mg/160mg Comp.Pell. Bt 90,10mg
AMLOVAR,,AMLOVAR 5mg/160mg Comp.Pell. Bt 30,5mg
AMLOVAR,,AMLOVAR 5mg/160mg Comp.Pell. Bt 90,5mg
AMLOVAR,,AMLOVAR 5mg/80mg Comp.Pell. Bt 30,5mg
AMLOVAR,,AMLOVAR 5mg/80mg Comp.Pell. Bt 90,5mg
AMOCLAN,,AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml +Ser. doseuse,100mg
AMOCLAN,,AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml + Ser. doseuse,100mg
AMOCLAN,,AMOCLAN 1gr/125mg  Pdre.P.Susp.Or. Bt 24 Sachets-doses,1g
AMOCLAN,,AMOCLAN 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses,1g
AMOCLAN,,AMOCLAN 1gr/200mg Pdre.P.Prép.Inj. Bt 1Fl SS,1g
AMOCLAN,,AMOCLAN 500mg/62.5mg Comp.Pell. Fl 12,500mg
AMOCLAN,,AMOCLAN 500mg/62.5mg Comp.Pell. Fl 24,500mg
AMOCLAN,,AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses,500mg
AMOCLAN,,AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 24 Sachets-Doses,500mg
AMOXAL,,AMOXAL 1gr Comp.Disper. Bt 14,1g
AMOXAL,,AMOXAL 250mg Pdre.P.Susp.Or. Fl 100ml,250mg
AMOXAL,,AMOXAL 500mg Comp. Bt 500,500mg
AMOXAL,,AMOXAL 500mg Comp.Disper. Bt 24,500mg
AMOXI-CLAV,,AMOXI-CLAV SANOFI 1000mg/125mg Pdre.P.Susp.Or. Bt 12Sach.,1000mg
AMOXI-CLAV,,AMOXI-CLAV SANOFI 1000mg/125mg Pdre.P.Susp.Or. Bt 24Sach.,1000mg
AMOXI-CLAV,,AMOXI-CLAV SANOFI ADULTE 500mg/62.5mg Comp.Pell. Bt 24,500mg
AMOXI-CLAV,,AMOXI-CLAV SANOFI ENFANTS 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml +Pip.Dos.,100mg
AMOXI-CLAV,,AMOXI-CLAV SANOFI NOURRISSONS 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml +Pip.Dos.,100mg
AMOXICILLINE,,AMOXICILLINE SANOFI 1g Comp.Disp. Bt 12,1g
AMOXICILLINE,,AMOXICILLINE SANOFI 250mg/5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,250mg
AMOXICILLINE,,AMOXICILLINE SANOFI 500mg Gél. Bt 24,500mg
AMOXICILLINE,,AMOXICILLINE SANOFI 500mg/5ml Pdre.P.Susp.Or. Fl 60ml +Cuill.Dos.,500mg
AMOXICILLINE,,AMOXICILLINE ZENTIVA 500mg Gél. Bt 24,500mg
