"option_type","value","label","css_class","source_url","scraped_at_utc"
"laboratory","7450","Flagship Biotech International","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0225","FRESENIUS KABI","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0150","FRESENIUS KABI (EX-LABESFAL ALMIRO)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0060","FRILAB","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0171","G.S.K. SANTE GRAND PUBLIC","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0268","GALDERMA SA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1989","GALPHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0609","GE HEALTHCARE AS (EX.AMERSHAM HEALTH AS.)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0068","GENEPHARM","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0069","GENEVRIER","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1631","GENZYME EUROPE B.V.(EX-GENZYME SAS)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1070","GILBERT","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1163","GLAXOSMITHKLINE (EX U.C.B PHARMA)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2071","GLAXOSMITHKLINE BIOLOGICAL S.A","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0226","GLAXOSMITHKLINE SERVICES UNLIMITED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0270","GLAXOSMITHKLINE SERVICES UNLIMITED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1071","GLAXOSMITHKLINE SERVICES UNLIMITED","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1881","GREEN CROSS CORPORATION","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
