source,target,weight,severity,shared_drugs
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Hepatitis C Virus Ns5A Inhibitor,5,CONTRAINDICATED,"abacavir, entecavir, epclusa, harvoni, lamivudine"
Azole Antifungal,Cystic Fibrosis Transmembrane Conductance Regulator Potentiator,5,MAJOR,"fluconazole, itraconazole, ketoconazole, posaconazole, voriconazole"
Central Nervous System Stimulant,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"acetaminophen, aspirin, butalbital, caffeine and codeine phosphate"
Corticosteroid,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"aspirin, dexamethasone, ibu, indomethacin"
Angiotensin 2 Receptor Blocker,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"hydrochlorothiazide, ibu, ibuprofen, indomethacin"
Muscle Relaxant,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"aspirin, metaxalone, soma, usp"
Angiotensin Converting Enzyme Inhibitor,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"aspirin, captopril, indomethacin, ramipril"
Cardiac Glycoside,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"digoxin, ibu, ibuprofen, indomethacin"
Folate Analog Metabolic Inhibitor,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"aspirin, ibu, ibuprofen, methotrexate"
Angiotensin 2 Receptor Blocker,Azole Antifungal,4,CONTRAINDICATED,"amlodipine, hydrochlorothiazide, itraconazole, ketoconazole"
Alpha-Adrenergic Blocker,Azole Antifungal,4,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, silodosin"
Azole Antifungal,Factor Xa Inhibitor,4,CONTRAINDICATED,"apixaban, itraconazole, ketoconazole, rivaroxaban"
Azole Antifungal,Microtubule Inhibitor,4,CONTRAINDICATED,"docetaxel, itraconazole, ketoconazole, paclitaxel"
Anti-Anginal,Azole Antifungal,4,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, ranolazine"
Azole Antifungal,P2Y12 Platelet Inhibitor,4,CONTRAINDICATED,"itraconazole, ketoconazole, ticagrelor, voriconazole"
Antiarrhythmic,Azole Antifungal,4,CONTRAINDICATED,"dofetilide, itraconazole, ketoconazole, voriconazole"
Azole Antifungal,Rifamycin Antibacterial,4,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, rifampin"
Azole Antifungal,Lipid-Based Polyene Antifungal,4,CONTRAINDICATED,"amphotericin b, clotrimazole, fluconazole, ketoconazole"
Anti-Epileptic Agent,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,4,CONTRAINDICATED,"efavirenz, ethosuximide, oxcarbazepine, phenytoin"
Angiotensin 2 Receptor Blocker,Dihydropyridine Calcium Channel Blocker,4,CONTRAINDICATED,"amlodipine, hydrochlorothiazide, irbesartan, nifedipine"
Angiotensin 2 Receptor Blocker,Angiotensin Converting Enzyme Inhibitor,4,CONTRAINDICATED,"captopril, hydrochlorothiazide, ramipril, telmisartan"
Kinase Inhibitor,Proton Pump Inhibitor,4,CONTRAINDICATED,"erlotinib, esomeprazole, nilotinib, omeprazole"
Cardiac Glycoside,Proton Pump Inhibitor,4,CONTRAINDICATED,"digoxin, esomeprazole, lansoprazole, omeprazole"
Calcineurin Inhibitor Immunosuppressant,Proton Pump Inhibitor,4,CONTRAINDICATED,"cyclosporine, lansoprazole, omeprazole, tacrolimus"
Androgen,Hmg-Coa Reductase Inhibitor,4,CONTRAINDICATED,"danazol, lovastatin, simvastatin, testosterone"
Cytochrome P450 3A Inhibitor,Hmg-Coa Reductase Inhibitor,4,CONTRAINDICATED,"lovastatin, ritonavir, rosuvastatin, simvastatin"
Calcineurin Inhibitor Immunosuppressant,Hmg-Coa Reductase Inhibitor,4,CONTRAINDICATED,"cyclosporine, lovastatin, rosuvastatin, simvastatin"
Hmg-Coa Reductase Inhibitor,Protease Inhibitor,4,CONTRAINDICATED,"darunavir, lovastatin, rosuvastatin, simvastatin"
Azole Antifungal,Nitroimidazole Antimicrobial,4,CONTRAINDICATED,"fluconazole, itraconazole, ketoconazole, voriconazole"
Herpes Simplex Virus Nucleoside Analog Dna Polymerase Inhibitor,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,4,CONTRAINDICATED,"acyclovir, emtricitabine, famciclovir, zidovudine"
Dietary Cholesterol Absorption Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,4,CONTRAINDICATED,"ezetimibe, fenofibrate, fenofibric acid, gemfibrozil"
Calcineurin Inhibitor Immunosuppressant,Peroxisome Proliferator Receptor Alpha Agonist,4,CONTRAINDICATED,"cyclosporine, fenofibrate, lopid, tacrolimus"
Purine Antimetabolite,Xanthine Oxidase Inhibitor,4,CONTRAINDICATED,"allopurinol, azathioprine, febuxostat, imuran"
Estrogen,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,4,CONTRAINDICATED,"efavirenz, estradiol, etravirine, nevirapine"
Cytochrome P450 3A Inhibitor,Kinase Inhibitor,4,CONTRAINDICATED,"everolimus, lopinavir and ritonavir, nilotinib, ritonavir"
Aromatic Amino Acid,Aromatic Amino Acid Decarboxylation Inhibitor,4,CONTRAINDICATED,"carbidopa, carbidopa and levodopa, carbidopa-levodopa, levodopa"
Alkaloid,Nonsteroidal Anti-Inflammatory Drug,4,CONTRAINDICATED,"indomethacin, ketoprofen, naproxen, sulindac"
Benzodiazepine,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,4,CONTRAINDICATED,"clonazepam, diazepam, lorazepam, onfi"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Macrolide Antimicrobial,4,CONTRAINDICATED,"clarithromycin, efavirenz, etravirine, nevirapine"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Progestin,4,CONTRAINDICATED,"efavirenz, etravirine, nevirapine, norethindrone"
