source,target,weight,severity,shared_drugs
Aromatase Inhibitor,Azole Antifungal,1,CONTRAINDICATED,ketoconazole
Anti-Epileptic Agent,Aromatase Inhibitor,1,CONTRAINDICATED,phenytoin
Aromatase Inhibitor,Histamine-2 Receptor Antagonist,1,CONTRAINDICATED,cimetidine
Aromatase Inhibitor,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Aminosalicylate,Muscle Relaxant,1,MODERATE,usp
Aminosalicylate,Purine Antimetabolite,1,MODERATE,azathioprine
Alpha-1 Adrenergic Agonist,Aminosalicylate,1,MODERATE,solution
Androgen,Cephalosporin Antibacterial,1,UNKNOWN,1%
Cephalosporin Antibacterial,Muscle Relaxant,1,UNKNOWN,usp
Factor Xa Inhibitor,Muscle Relaxant,1,MAJOR,usp
Factor Xa Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,1,MAJOR,lopid
Factor Xa Inhibitor,Macrolide Antimicrobial,1,MAJOR,clarithromycin
Factor Xa Inhibitor,General Anesthetic,1,MAJOR,ultane
Factor Xa Inhibitor,P2Y12 Platelet Inhibitor,1,MAJOR,clopidogrel
Factor Xa Inhibitor,Macrolide,1,MAJOR,erythromycin
Factor Xa Inhibitor,Rifamycin Antibacterial,1,MAJOR,rifampin
Androgen,Angiotensin Converting Enzyme Inhibitor,1,CONTRAINDICATED,1%
Angiotensin Converting Enzyme Inhibitor,Muscle Relaxant,1,CONTRAINDICATED,usp
Angiotensin Converting Enzyme Inhibitor,Sulfonylurea,1,CONTRAINDICATED,glyburide
Angiotensin Converting Enzyme Inhibitor,Loop Diuretic,1,CONTRAINDICATED,furosemide
Angiotensin Converting Enzyme Inhibitor,Histamine-2 Receptor Antagonist,1,CONTRAINDICATED,cimetidine
Angiotensin Converting Enzyme Inhibitor,Xanthine Oxidase Inhibitor,1,CONTRAINDICATED,allopurinol
Aldosterone Antagonist,Angiotensin Converting Enzyme Inhibitor,1,CONTRAINDICATED,spironolactone
Angiotensin Converting Enzyme Inhibitor,Dihydropyridine Calcium Channel Blocker,1,CONTRAINDICATED,nifedipine
Angiotensin Converting Enzyme Inhibitor,Nitrate Vasodilator,1,CONTRAINDICATED,nitroglycerin
Alpha-Adrenergic Agonist,Angiotensin Converting Enzyme Inhibitor,1,CONTRAINDICATED,epinephrine
Angiotensin Converting Enzyme Inhibitor,Kinase Inhibitor,1,CONTRAINDICATED,everolimus
Angiotensin Converting Enzyme Inhibitor,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Alkaloid,Angiotensin Converting Enzyme Inhibitor,1,CONTRAINDICATED,colchicine
Angiotensin Converting Enzyme Inhibitor,Macrolide Antimicrobial,1,CONTRAINDICATED,clarithromycin
Angiotensin Converting Enzyme Inhibitor,Bile Acid Sequestrant,1,CONTRAINDICATED,cholestyramine
Angiotensin Converting Enzyme Inhibitor,Mtor Inhibitor Immunosuppressant,1,CONTRAINDICATED,sirolimus
Angiotensin Converting Enzyme Inhibitor,Macrolide,1,CONTRAINDICATED,erythromycin
Angiotensin Converting Enzyme Inhibitor,Cytochrome P450 3A Inhibitor,1,CONTRAINDICATED,ritonavir
Angiotensin Converting Enzyme Inhibitor,Methylxanthine,1,CONTRAINDICATED,theophylline
Angiotensin Converting Enzyme Inhibitor,Calcineurin Inhibitor Immunosuppressant,1,CONTRAINDICATED,tacrolimus
Angiotensin Converting Enzyme Inhibitor,Potassium-Sparing Diuretic,1,CONTRAINDICATED,triamterene
Angiotensin Converting Enzyme Inhibitor,Rifamycin Antibacterial,1,CONTRAINDICATED,rifampin
Angiotensin Converting Enzyme Inhibitor,Lipid-Based Polyene Antifungal,1,CONTRAINDICATED,amphotericin b
Histamine-2 Receptor Antagonist,Quinolone Antimicrobial,1,MODERATE,cimetidine
Alpha-1 Adrenergic Agonist,Quinolone Antimicrobial,1,MODERATE,solution
Insulin Analog,Muscle Relaxant,1,MODERATE,soma
Estrogen,Insulin Analog,1,MODERATE,estrogens
Alpha-Adrenergic Agonist,Insulin Analog,1,MODERATE,epinephrine
Central Nervous System Stimulant,Insulin Analog,1,MODERATE,acetaminophen
Androgen,Insulin Analog,1,MODERATE,danazol
Glp-1 Receptor Agonist,Insulin Analog,1,MODERATE,liraglutide
Antimycobacterial,Insulin Analog,1,MODERATE,isoniazid
Central Alpha-2 Adrenergic Agonist,Insulin Analog,1,MODERATE,clonidine
Insulin Analog,Nicotinic Acid,1,MODERATE,niacin
Blood Viscosity Reducer,Insulin Analog,1,MODERATE,pentoxifylline
Insulin Analog,Vasoconstrictor,1,MODERATE,angiotensin ii
Aromatic Amino Acid Decarboxylation Inhibitor,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,ibu
Anti-Epileptic Agent,Aromatic Amino Acid Decarboxylation Inhibitor,1,CONTRAINDICATED,phenytoin
Aromatic Amino Acid Decarboxylation Inhibitor,Muscle Relaxant,1,CONTRAINDICATED,usp
Alpha-Adrenergic Agonist,Aromatic Amino Acid Decarboxylation Inhibitor,1,CONTRAINDICATED,epinephrine
Aromatic Amino Acid Decarboxylation Inhibitor,Bile Acid Sequestrant,1,CONTRAINDICATED,cholestyramine
Antimycobacterial,Aromatic Amino Acid Decarboxylation Inhibitor,1,CONTRAINDICATED,isoniazid
Aromatic Amino Acid Decarboxylation Inhibitor,Macrolide,1,CONTRAINDICATED,erythromycin
Aromatic Amino Acid Decarboxylation Inhibitor,Vesicular Monoamine Transporter 2 Inhibitor,1,CONTRAINDICATED,tetrabenazine
Alkaloid,Benzodiazepine,1,CONTRAINDICATED,lorazepam
Alkaloid,Angiotensin 2 Receptor Blocker,1,CONTRAINDICATED,amlodipine
Alkaloid,Histamine-2 Receptor Antagonist,1,CONTRAINDICATED,cimetidine
Alkaloid,Alpha-Adrenergic Blocker,1,CONTRAINDICATED,carvedilol
Alkaloid,Fluoroquinolone Antibacterial,1,CONTRAINDICATED,ciprofloxacin
Alkaloid,Central Nervous System Stimulant,1,CONTRAINDICATED,acetaminophen
Alkaloid,Quinolone Antimicrobial,1,CONTRAINDICATED,ofloxacin
Alkaloid,Cardiac Glycoside,1,CONTRAINDICATED,digoxin
Alkaloid,Anti-Anginal,1,CONTRAINDICATED,ranolazine
Alkaloid,Antimycobacterial,1,CONTRAINDICATED,pyrazinamide
Alkaloid,Progestin,1,CONTRAINDICATED,norethindrone
Alkaloid,Methylxanthine,1,CONTRAINDICATED,theophylline
Alkaloid,Folate Analog Metabolic Inhibitor,1,CONTRAINDICATED,methotrexate
Alkaloid,Substance P/Neurokinin-1 Receptor Antagonist,1,CONTRAINDICATED,aprepitant
Alkaloid,Rifamycin Antibacterial,1,CONTRAINDICATED,rifampin
Nonsteroidal Anti-Inflammatory Drug,Radioactive Diagnostic Agent,1,MODERATE,ibu
Estrogen,Radioactive Diagnostic Agent,1,MODERATE,estradiol
Alkaloid,Radioactive Diagnostic Agent,1,MODERATE,colchicine
Radioactive Diagnostic Agent,Sympathomimetic-Like Agent,1,MODERATE,modafinil
Estrogen Receptor Antagonist,Radioactive Diagnostic Agent,1,MODERATE,fulvestrant
Radioactive Diagnostic Agent,Serotonin And Norepinephrine Reuptake Inhibitor,1,MODERATE,desvenlafaxine
Radioactive Diagnostic Agent,Tricyclic Antidepressant,1,MODERATE,amoxapine
Aluminum Complex,Azole Antifungal,1,UNKNOWN,ketoconazole
Aluminum Complex,Muscle Relaxant,1,UNKNOWN,usp
Aluminum Complex,General Anesthetic,1,UNKNOWN,ultane
Nonsteroidal Anti-Inflammatory Drug,Sulfonamide Antimicrobial,1,CONTRAINDICATED,indomethacin
Anti-Epileptic Agent,Sulfonamide Antimicrobial,1,CONTRAINDICATED,phenytoin
Muscle Relaxant,Sulfonamide Antimicrobial,1,CONTRAINDICATED,usp
Peroxisome Proliferator Receptor Alpha Agonist,Sulfonamide Antimicrobial,1,CONTRAINDICATED,pioglitazone
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Sulfonamide Antimicrobial,1,CONTRAINDICATED,zidovudine
Cardiac Glycoside,Sulfonamide Antimicrobial,1,CONTRAINDICATED,digoxin
Glinide,Sulfonamide Antimicrobial,1,CONTRAINDICATED,repaglinide
Calcineurin Inhibitor Immunosuppressant,Sulfonamide Antimicrobial,1,CONTRAINDICATED,cyclosporine
Folate Analog Metabolic Inhibitor,Sulfonamide Antimicrobial,1,CONTRAINDICATED,methotrexate
Antiarrhythmic,Sulfonamide Antimicrobial,1,CONTRAINDICATED,dofetilide
Dihydrofolate Reductase Inhibitor Antimalarial,Sulfonamide Antimicrobial,1,CONTRAINDICATED,pyrimethamine
Lipopeptide Antibacterial,Muscle Relaxant,1,UNKNOWN,usp
Lipopeptide Antibacterial,Osmotic Laxative,1,UNKNOWN,sodium chloride
Benzodiazepine,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,lorazepam
Estrogen,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,estradiol
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Phosphodiesterase 5 Inhibitor,1,CONTRAINDICATED,sildenafil
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Central Nervous System Stimulant,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,acetaminophen
Aluminum Complex,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,sucralfate
Cardiac Glycoside,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,digoxin
Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Macrolide,1,CONTRAINDICATED,erythromycin
Calcineurin Inhibitor Immunosuppressant,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,tacrolimus
Antiarrhythmic,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,dofetilide
Ccr5 Co-Receptor Antagonist,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,maraviroc
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Proton Pump Inhibitor,1,CONTRAINDICATED,omeprazole
Herpes Simplex Virus Nucleoside Analog Dna Polymerase Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,acyclovir
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,1,CONTRAINDICATED,lopid
Amide Local Anesthetic,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,lidocaine
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Nucleoside Metabolic Inhibitor,1,CONTRAINDICATED,cytarabine
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Cardiac Glycoside,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,digoxin
Alkylating Drug,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,cyclophosphamide
General Anesthetic,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,ultane
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,P2Y12 Platelet Inhibitor,1,CONTRAINDICATED,clopidogrel
Antimalarial,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,atovaquone
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Mtor Inhibitor Immunosuppressant,1,CONTRAINDICATED,sirolimus
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Purine Antimetabolite,1,CONTRAINDICATED,cladribine
Dihydrofolate Reductase Inhibitor Antibacterial,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,trimethoprim
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Progesterone,1,CONTRAINDICATED,progesterone
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Opioid Agonist,1,CONTRAINDICATED,fentanyl
Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,valganciclovir
Alpha-1 Adrenergic Agonist,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,solution
Antifibrinolytic Agent,Muscle Relaxant,1,CONTRAINDICATED,usp
Antifibrinolytic Agent,Retinoid,1,CONTRAINDICATED,tretinoin
Antifibrinolytic Agent,Osmotic Laxative,1,CONTRAINDICATED,sodium chloride
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Nonsteroidal Anti-Inflammatory Drug,1,CONTRAINDICATED,ibu
Corticosteroid,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,prednisone
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Muscle Relaxant,1,CONTRAINDICATED,usp
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Proton Pump Inhibitor,1,CONTRAINDICATED,omeprazole
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Herpes Simplex Virus Nucleoside Analog Dna Polymerase Inhibitor,1,CONTRAINDICATED,acyclovir
Estrogen,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,estradiol
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Aluminum Complex,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,sucralfate
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Potassium Channel Blocker,1,CONTRAINDICATED,dalfampridine
Dihydrofolate Reductase Inhibitor Antibacterial,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,trimethoprim
Antiarrhythmic,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,dofetilide
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Rifamycin Antibacterial,1,CONTRAINDICATED,rifampin
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Rifamycin Antimycobacterial,1,CONTRAINDICATED,rifabutin
Cytomegalovirus Nucleoside Analog Dna Polymerase Inhibitor,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1,CONTRAINDICATED,valganciclovir
Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor,Soluble Guanylate Cyclase Stimulator,1,CONTRAINDICATED,adempas
Nucleoside Metabolic Inhibitor,Platinum-Based Drug,1,MODERATE,fluorouracil
Methylxanthine,Thyroid Hormone Synthesis Inhibitor,1,UNKNOWN,theophylline
Androgen,Cardiac Glycoside,1,MAJOR,1%
Alpha-Adrenergic Agonist,Cardiac Glycoside,1,MAJOR,epinephrine
Cardiac Glycoside,Glp-1 Receptor Agonist,1,MAJOR,exenatide
Bile Acid Sequestrant,Cardiac Glycoside,1,MAJOR,cholestyramine
Cardiac Glycoside,Vasopressin V2 Receptor Antagonist,1,MAJOR,tolvaptan
Dietary Cholesterol Absorption Inhibitor,Muscle Relaxant,1,CONTRAINDICATED,usp
Angiotensin 2 Receptor Blocker,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,amlodipine
Androgen,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,danazol
Alkaloid,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,colchicine
Dietary Cholesterol Absorption Inhibitor,Lipopeptide Antibacterial,1,CONTRAINDICATED,daptomycin
Cardiac Glycoside,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,digoxin
Dietary Cholesterol Absorption Inhibitor,Macrolide Antimicrobial,1,CONTRAINDICATED,clarithromycin
Anti-Anginal,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,ranolazine
Dietary Cholesterol Absorption Inhibitor,Macrolide,1,CONTRAINDICATED,erythromycin
Cytochrome P450 3A Inhibitor,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,ritonavir
Calcineurin Inhibitor Immunosuppressant,Dietary Cholesterol Absorption Inhibitor,1,CONTRAINDICATED,cyclosporine
Dietary Cholesterol Absorption Inhibitor,Nicotinic Acid,1,CONTRAINDICATED,niacin
Dietary Cholesterol Absorption Inhibitor,Protease Inhibitor,1,CONTRAINDICATED,darunavir
Androgen,Macrolide Antimicrobial,1,CONTRAINDICATED,1%
Anti-Epileptic Agent,Macrolide Antimicrobial,1,CONTRAINDICATED,phenytoin
Macrolide Antimicrobial,Muscle Relaxant,1,CONTRAINDICATED,500 mg
Histamine-2 Receptor Antagonist,Macrolide Antimicrobial,1,CONTRAINDICATED,ranitidine
Macrolide Antimicrobial,Peroxisome Proliferator Receptor Alpha Agonist,1,CONTRAINDICATED,pioglitazone
General Anesthetic,Macrolide Antimicrobial,1,CONTRAINDICATED,ultane
Macrolide,Macrolide Antimicrobial,1,CONTRAINDICATED,erythromycin
Macrolide Antimicrobial,Phosphodiesterase 3 Inhibitor,1,CONTRAINDICATED,cilostazol
Macrolide Antimicrobial,Typical Antipsychotic,1,CONTRAINDICATED,pimozide
Central Nervous System Stimulant,Glp-1 Receptor Agonist,1,MAJOR,acetaminophen
Alkylating Drug,Androgen,1,MAJOR,1%
Alkylating Drug,Anti-Epileptic Agent,1,MAJOR,phenytoin
Alkylating Drug,Kinase Inhibitor,1,MAJOR,sorafenib
Alkylating Drug,Central Nervous System Stimulant,1,MAJOR,acetaminophen
Alkylating Drug,Macrolide Antimicrobial,1,MAJOR,clarithromycin
Alkylating Drug,General Anesthetic,1,MAJOR,ultane
Alkylating Drug,Cytochrome P450 3A Inhibitor,1,MAJOR,ritonavir
Alkylating Drug,Calcineurin Inhibitor Immunosuppressant,1,MAJOR,cyclosporine
Alkylating Drug,Rifamycin Antibacterial,1,MAJOR,rifampin
Androgen,General Anesthetic,1,MAJOR,1%
General Anesthetic,Opioid Agonist,1,MAJOR,fentanyl
Dopamine-2 Receptor Antagonist,General Anesthetic,1,MAJOR,droperidol
Muscle Relaxant,Serotonin-1B And Serotonin-1D Receptor Agonist,1,CONTRAINDICATED,usp
Histamine-2 Receptor Antagonist,Serotonin-1B And Serotonin-1D Receptor Agonist,1,CONTRAINDICATED,cimetidine
Alpha-Adrenergic Agonist,Serotonin-1B And Serotonin-1D Receptor Agonist,1,CONTRAINDICATED,epinephrine
Corticosteroid,Microtubule Inhibitor,1,MAJOR,dexamethasone
Microtubule Inhibitor,Muscle Relaxant,1,MAJOR,usp
Microtubule Inhibitor,Phosphodiesterase 5 Inhibitor,1,MAJOR,sildenafil
Dihydropyridine Calcium Channel Blocker,Microtubule Inhibitor,1,MAJOR,felodipine
Microtubule Inhibitor,Mood Stabilizer,1,MAJOR,carbamazepine
Microtubule Inhibitor,Platinum-Based Drug,1,MAJOR,cisplatin
Macrolide Antimicrobial,Microtubule Inhibitor,1,MAJOR,clarithromycin
Glinide,Microtubule Inhibitor,1,MAJOR,repaglinide
Microtubule Inhibitor,Rifamycin Antibacterial,1,MAJOR,rifampin
Nonsteroidal Anti-Inflammatory Drug,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,mefenamic acid
Androgen,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,1%
Muscle Relaxant,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,500 mg
Sodium-Glucose Cotransporter 2 Inhibitor,Sulfonylurea,1,MAJOR,glimepiride
Loop Diuretic,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,bumetanide
Hmg-Coa Reductase Inhibitor,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,simvastatin
Histamine-2 Receptor Antagonist,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,cimetidine
Peroxisome Proliferator Receptor Alpha Agonist,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,pioglitazone
Estrogen,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,estrogens
Cardiac Glycoside,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,digoxin
Macrolide Antimicrobial,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,clarithromycin
Anti-Anginal,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,ranolazine
Antimycobacterial,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,isoniazid
Cytochrome P450 3A Inhibitor,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,ritonavir
Dipeptidyl Peptidase 4 Inhibitor,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,sitagliptin
Rifamycin Antibacterial,Sodium-Glucose Cotransporter 2 Inhibitor,1,MAJOR,rifampin
Anti-Anginal,Anti-Epileptic Agent,1,CONTRAINDICATED,phenytoin
Anti-Anginal,Muscle Relaxant,1,CONTRAINDICATED,500 mg
Anti-Anginal,Mood Stabilizer,1,CONTRAINDICATED,carbamazepine
Anti-Anginal,Macrolide Antimicrobial,1,CONTRAINDICATED,clarithromycin
Anti-Anginal,Mtor Inhibitor Immunosuppressant,1,CONTRAINDICATED,sirolimus
Anti-Anginal,Macrolide,1,CONTRAINDICATED,erythromycin
Anti-Anginal,Rifamycin Antibacterial,1,CONTRAINDICATED,rifampin
Anti-Anginal,Rifamycin Antimycobacterial,1,CONTRAINDICATED,rifabutin
Alpha-1 Adrenergic Agonist,Anti-Anginal,1,CONTRAINDICATED,solution
Nonsteroidal Anti-Inflammatory Drug,Vitamin C,1,MODERATE,aspirin
Muscle Relaxant,Vitamin C,1,MODERATE,usp
Peroxisome Proliferator Receptor Alpha Agonist,Vitamin C,1,MODERATE,lopid
Mood Stabilizer,Vitamin C,1,MODERATE,carbamazepine
Aromatic Amino Acid Decarboxylation Inhibitor,Vitamin C,1,MODERATE,levodopa
P2Y12 Platelet Inhibitor,Vitamin C,1,MODERATE,clopidogrel
Tetracycline-Class Drug,Vitamin C,1,MODERATE,doxycycline
Provitamin D2 Compound,Vitamin C,1,MODERATE,vitamin d
Antimycobacterial,Vitamin C,1,MODERATE,isoniazid
Macrolide,Vitamin C,1,MODERATE,erythromycin
Folate Analog Metabolic Inhibitor,Vitamin C,1,MODERATE,methotrexate
Central Nervous System Stimulant,Vitamin C,1,MODERATE,amphetamine
Nicotinic Acid,Vitamin C,1,MODERATE,niacin
Vitamin B12,Vitamin C,1,MODERATE,vitrexate
Androgen,Oxazolidinone Antibacterial,1,MAJOR,1%
Anti-Epileptic Agent,Oxazolidinone Antibacterial,1,MAJOR,phenytoin
Alpha-Adrenergic Agonist,Oxazolidinone Antibacterial,1,MAJOR,epinephrine
Mood Stabilizer,Oxazolidinone Antibacterial,1,MAJOR,carbamazepine
Oxazolidinone Antibacterial,Rifamycin Antibacterial,1,MAJOR,rifampin
Bile Acid,Muscle Relaxant,1,UNKNOWN,500 mg
Bile Acid,Bile Acid Sequestrant,1,UNKNOWN,cholestyramine
Bile Acid,Calcineurin Inhibitor Immunosuppressant,1,UNKNOWN,cyclosporine
Corticosteroid,Iron Chelator,1,MODERATE,budesonide
Benzodiazepine,Iron Chelator,1,MODERATE,triazolam
Atypical Antipsychotic,Iron Chelator,1,MODERATE,quetiapine
Anti-Epileptic Agent,Iron Chelator,1,MODERATE,phenytoin
Iron Chelator,Muscle Relaxant,1,MODERATE,usp
Iron Chelator,Phosphodiesterase 5 Inhibitor,1,MODERATE,sildenafil
Aldosterone Antagonist,Iron Chelator,1,MODERATE,eplerenone
Iron Chelator,Kinase Inhibitor,1,MODERATE,everolimus
Barbiturate,Iron Chelator,1,MODERATE,caffeine
Iron Chelator,Melatonin Receptor Agonist,1,MODERATE,ramelteon
Iron Chelator,Microtubule Inhibitor,1,MODERATE,paclitaxel
Iron Chelator,P2Y12 Platelet Inhibitor,1,MODERATE,ticagrelor
Iron Chelator,Mtor Inhibitor Immunosuppressant,1,MODERATE,sirolimus
Cytochrome P450 3A Inhibitor,Iron Chelator,1,MODERATE,ritonavir
Iron Chelator,Methylxanthine,1,MODERATE,theophylline
Iron Chelator,Substance P/Neurokinin-1 Receptor Antagonist,1,MODERATE,aprepitant
Iron Chelator,Vasopressin V2 Receptor Antagonist,1,MODERATE,tolvaptan
Ccr5 Co-Receptor Antagonist,Iron Chelator,1,MODERATE,maraviroc
Iron Chelator,Opioid Agonist,1,MODERATE,fentanyl
Iron Chelator,Protease Inhibitor,1,MODERATE,darunavir
Iron Chelator,Typical Antipsychotic,1,MODERATE,pimozide
Nonsteroidal Anti-Inflammatory Drug,Pyridone,1,MODERATE,ibu
Fluoroquinolone Antibacterial,Pyridone,1,MODERATE,ciprofloxacin
Pyridone,Quinolone Antimicrobial,1,MODERATE,ofloxacin
Azole Antifungal,Prostaglandin E1 Analog,1,MAJOR,voriconazole
Loop Diuretic,Prostaglandin E1 Analog,1,MAJOR,furosemide
Cardiac Glycoside,Prostaglandin E1 Analog,1,MAJOR,digoxin
Calcineurin Inhibitor Immunosuppressant,Prostaglandin E1 Analog,1,MAJOR,cyclosporine
Folate Analog Metabolic Inhibitor,Prostaglandin E1 Analog,1,MAJOR,methotrexate
Prostaglandin E1 Analog,Rifamycin Antibacterial,1,MAJOR,rifampin
Oxytocic,Prostaglandin E1 Analog,1,MAJOR,oxytocin
P2Y12 Platelet Inhibitor,Peroxisome Proliferator Receptor Alpha Agonist,1,MODERATE,lopid
Alpha-Adrenergic Agonist,P2Y12 Platelet Inhibitor,1,MODERATE,epinephrine
Mood Stabilizer,P2Y12 Platelet Inhibitor,1,MODERATE,carbamazepine
Macrolide Antimicrobial,P2Y12 Platelet Inhibitor,1,MODERATE,clarithromycin
Osmotic Laxative,Proton Pump Inhibitor,1,MODERATE,sodium bicarbonate
Alpha-1 Adrenergic Agonist,Osmotic Laxative,1,MODERATE,solution
Muscle Relaxant,Provitamin D2 Compound,1,MODERATE,usp
Histamine-2 Receptor Antagonist,Phenothiazine,1,MAJOR,cimetidine
Alpha-Adrenergic Agonist,Phenothiazine,1,MAJOR,epinephrine
Anti-Epileptic Agent,Sympathomimetic-Like Agent,1,MODERATE,phenytoin
Muscle Relaxant,Sympathomimetic-Like Agent,1,MODERATE,usp
Proton Pump Inhibitor,Sympathomimetic-Like Agent,1,MODERATE,omeprazole
Calcineurin Inhibitor Immunosuppressant,Sympathomimetic-Like Agent,1,MODERATE,cyclosporine
Androgen,Sulfone,1,MODERATE,1%
Anti-Epileptic Agent,Sulfone,1,MODERATE,phenytoin
Nitrate Vasodilator,Sulfone,1,MODERATE,nitroglycerin
Central Nervous System Stimulant,Sulfone,1,MODERATE,acetaminophen
Nitrofuran Antibacterial,Sulfone,1,MODERATE,nitrofurantoin
Dihydrofolate Reductase Inhibitor Antibacterial,Sulfone,1,MODERATE,trimethoprim
