id,drug_count,severity
Serotonin And Norepinephrine Reuptake Inhibitor,2,CONTRAINDICATED
Soluble Guanylate Cyclase Stimulator,2,CONTRAINDICATED
Catecholamine Synthesis Inhibitor,2,MODERATE
Nonergot Dopamine Agonist,2,MAJOR
Photoactivated Radical Generator,2,UNKNOWN
Plasma Volume Expander,2,MODERATE
Calcitonin Gene-Related Peptide Receptor Antagonist,2,MODERATE
Growth Hormone Secretagogue Receptor Agonist,2,MODERATE
Neuroactive Steroid Gamma-Aminobutyric Acid A Receptor Positive Modulator,2,MODERATE
Menin Inhibitor,1,MAJOR
Antidiarrheal,1,UNKNOWN
Zaire Ebolavirus Glycoprotein-Directed Antibody,1,UNKNOWN
Medium-Chain Triglyceride,1,UNKNOWN
Leukocyte Growth Factor,1,MODERATE
Leptin Analog,1,UNKNOWN
Lipoglycopeptide Antibacterial,1,MODERATE
Live Attenuated Bacillus Calmette-Guerin Vaccine,1,UNKNOWN
Lymphocyte Growth Factor,1,MAJOR
Immunoglobulin G,1,UNKNOWN
Human Platelet-Derived Growth Factor,1,UNKNOWN
Complement Factor D Inhibitor,1,MAJOR
Human Immunoglobulin,1,UNKNOWN
Isocitrate Dehydrogenase 1 Inhibitor,1,MODERATE
Hypoxia-Inducible Factor Inhibitor,1,MODERATE
Lead Chelator,1,UNKNOWN
Anti-Ige,1,UNKNOWN
Urease Inhibitor,1,MODERATE
Uric Acid-Specific Enzyme,1,UNKNOWN
Tricyclic Antidepressant,1,MODERATE
Type I Interferon Receptor Antagonist,1,UNKNOWN
Alpha-1 Adrenergic Agonist,1,UNKNOWN
Interferon Alfa-2B,1,MODERATE
Interferon Alpha,1,MAJOR
Interferon Gamma Blocker,1,UNKNOWN
Interleukin-17A Antagonist,1,MINOR
Interleukin-17 Receptor A Antagonist,1,UNKNOWN
Interleukin-1 Receptor Antagonist,1,MAJOR
Interferon Gamma,1,MODERATE
Interleukin-6 Antagonist,1,MODERATE
Interleukin-2 Receptor Blocking Antibody,1,MODERATE
Complement 5A Receptor Antagonist,1,MODERATE
Complement C5 Inhibitor,1,MODERATE
Mucocutaneous Epithelial Cell Growth Factor,1,UNKNOWN
Farnesyltransferase Inhibitor,1,CONTRAINDICATED
Glycolipid Disialoganglioside-Directed Antibody,1,UNKNOWN
Gamma Secretase Inhibitor,1,MAJOR
Bcl-2 Inhibitor,1,CONTRAINDICATED
B Lymphocyte Stimulator-Specific Inhibitor,1,UNKNOWN
Glp-2 Analog,1,MODERATE
Estrogen Agonist/Antagonist,1,CONTRAINDICATED
Autologous Cellular Immunotherapy,1,UNKNOWN
Phenylalanine Metabolizing Enzyme,1,MAJOR
Paramagnetic Contrast Agent,1,UNKNOWN
Parathyroid Hormone-Related Peptide Analog,1,UNKNOWN
Peroxisome Proliferator-Activated Receptor Agonist,1,MODERATE
Poly(Adp-Ribose) Polymerase Inhibitor,1,MODERATE
Bispecific B Cell Maturation Antigen-Directed Cd3 T Cell Engager,1,MAJOR
Orthopoxvirus Vp37 Envelope Wrapping Protein Inhibitor,1,MODERATE
Cd30-Directed Immunoconjugate,1,UNKNOWN
Nonsteroidal Mineralocorticoid-Receptor Antagonist,1,CONTRAINDICATED
Cardiac Myosin Inhibitor,1,CONTRAINDICATED
Neurokinin 3 Receptor Antagonist,1,CONTRAINDICATED
Calculi Dissolution Agent,1,MODERATE
Cd22-Directed Immunoconjugate,1,MODERATE
Cd52-Directed Cytolytic Antibody,1,UNKNOWN
Cxc Chemokine Receptor 4 Antagonist,1,CONTRAINDICATED
Cholinergic Muscarinic Agonist,1,UNKNOWN
Carboxypeptidase,1,MODERATE
Hemoglobin S Polymerization Inhibitor,1,MODERATE
Hedgehog Pathway Inhibitor,1,MODERATE
Cholinergic Nicotinic Agonist,1,UNKNOWN
Cholinergic Muscarinic Antagonist,1,UNKNOWN
Phosphate Binder,1,UNKNOWN
Renal Dehydropeptidase Inhibitor,1,MODERATE
Serotonin Reuptake Inhibitor,1,CONTRAINDICATED
Sodium Channel Blocker,1,CONTRAINDICATED
Sars-Cov-2 Nucleotide Analog Rna Polymerase Inhibitor,1,MODERATE
Slamf7-Directed Immunostimulatory Antibody,1,MODERATE
Sclerosing Agent,1,UNKNOWN
Selectin Blocker,1,UNKNOWN
Selective T Cell Costimulation Blocker,1,MODERATE
Selective T Cell Costimulation Modulator,1,MAJOR
Pyruvate Kinase Activator,1,MODERATE
Protease Activator,1,MODERATE
Cd19-Directed Cytolytic Antibody,1,UNKNOWN
Cd19-Directed Chimeric Antigen Receptor,1,UNKNOWN
Recombinant Human Deoxyribonuclease 1,1,UNKNOWN
Cortisol Synthesis Inhibitor,1,CONTRAINDICATED
Sucrose-Specific Enzyme,1,UNKNOWN
Standardized Insect Allergenic Extract,1,MAJOR
Dopamine And Norepinephrine Reuptake Inhibitor,1,MODERATE
Decorporation Agent,1,UNKNOWN
Cytomegalovirus Dna Terminase Complex Inhibitor,1,CONTRAINDICATED
Cytomegalovirus Pul97 Kinase Inhibitor,1,MAJOR
Sulfonamide Antibacterial,1,UNKNOWN
Antileishmanial,1,MAJOR
Corticotropin-Releasing Factor Type 1 Receptor Antagonist,1,MODERATE
Antithrombin-Directed Rna Interaction,1,MODERATE
Thymic Stromal Lymphopoietin Blocker,1,UNKNOWN
Thrombopoietin Receptor Agonist,1,UNKNOWN
Survival Of Motor Neuron 2 Splicing Modifier,1,UNKNOWN
Asparagine-Specific Enzyme,1,UNKNOWN
Tissue-Nonspecific Alkaline Phosphatase,1,UNKNOWN
Tissue Factor Pathway Inhibitor Antagonist,1,MAJOR
Thyroid Hormone Receptor Beta Agonist,1,MAJOR
Mu-Opioid Receptor Agonist,1,MAJOR
